id,name,name_shortened,private
1,Counter Strike: Global Offensive,csgo,False
2,Defense of the Ancients 2,dota,False
3,League of Legends,lol,False
4,PlayerUnknowns Battlegrounds,pubg,False
5,Kings of Glory,kog,False
6,Valorant,val,False
7,PlayerUnknowns Battlegrounds Mobile,PUBG-M,False
8,Drone Champions League,dcl,False
9,FIFA20,FIFA20,False
10,FallGuys,FallGuys,False
11,Mobile Legends,Mobile-Legends,False
12,F1 2020,F1 2020,False
13,League of Legends Wild Rift,LoLWR,False
14,Skullgirls 2nd Encore,Skullgirls,False
15,Crossfire,crossfire,False
16,Counter Strike: Global Offensive - 2v2,CSGO 2v2,False
17,FIFA22,FIFA22,False
18,F1® 22,F1 2022,False
19,Tekken 7,Tekken 7,False
20,eFootball 23,eFootball 23,False
21,Street Fighter V,SFV,False
22,GRID-TEST,GRID-TEST,False
23,Naraka: Bladepoint,Naraka,False
24,EA SPORTS™ FIFA 23,FIFA 23,False
25,Tom Clancy's Rainbow Six Siege,r6,False
26,Taunt Battleworld,taunt,False
27,Tom Clancy's Rainbow Six Siege (Test),r6-test,False
28,Counter Strike 2,cs2,False
29,Crossfire (Test),crossfire-test,False
30,Wizards of the Coast,WotC,False
31,Standoff 2 (Test),so2-test,False
32,Standoff 2,so2,False
